sequence,fit_budget,method,candidate_pairs,valid_pairs,median_ce95,median_absolute_log_scale_ratio,median_holdout_nll,median_estimated_scale,median_coverage95,median_calibration_time_ms,median_random_trace_median_relative_error,median_random_trace_p95_relative_error,median_random_trace_mae,median_random_gain_median_relative_error,median_random_gain_p95_relative_error,median_k16_vs_exact_scale_relative_error,median_projection_basis_time_ms
V1_02_medium,16,Raw,151,128,0.07499999999999996,0.7550634243239192,3.7251900445935573,0.5786155426549273,0.875,0.006218,0.2751402686592095,0.748255366072764,0.10373793205197368,0.02668801778347729,0.08359521377645923,0.04495347112797887,0.037984
V1_02_medium,16,Global-DoF,151,128,0.050000000000000044,0.7380717718676125,3.674098942665994,0.712142206344526,0.9166666666666666,0.002025,0.2751402686592095,0.748255366072764,0.10373793205197368,0.02668801778347729,0.08359521377645923,0.04495347112797887,0.037984
V1_02_medium,16,DPR-Exact-Block,151,128,0.050000000000000044,0.7223656824495746,3.6956711085012453,0.7594087905223217,0.9166666666666666,0.4580955,0.2751402686592095,0.748255366072764,0.10373793205197368,0.02668801778347729,0.08359521377645923,0.04495347112797887,0.037984
V1_02_medium,16,DUC-K16,151,128,0.050000000000000044,0.6881041038391968,3.6967249847581263,0.7541903136994319,0.9166666666666666,0.176647,0.2751402686592095,0.748255366072764,0.10373793205197368,0.02668801778347729,0.08359521377645923,0.04495347112797887,0.037984
V1_02_medium,16,Permuted-K16,151,128,0.050000000000000044,0.7148858000867121,3.639917752712922,0.8298791458460398,0.9166666666666666,0.069055,0.2751402686592095,0.748255366072764,0.10373793205197368,0.02668801778347729,0.08359521377645923,0.04495347112797887,0.037984
V1_02_medium,48,Raw,151,128,0.050000000000000044,0.6912031939220755,3.4968214953272208,0.9881549833129624,0.9375,0.006141,0.4844608084483518,1.1821479438536082,0.05896912200682154,0.013090582825925429,0.03947978329966467,0.015210182595898902,0.038204
V1_02_medium,48,Global-DoF,151,128,0.050000000000000044,0.6988907671858198,3.5053673287151996,1.054031982200493,0.9583333333333334,0.001977,0.4844608084483518,1.1821479438536082,0.05896912200682154,0.013090582825925429,0.03947978329966467,0.015210182595898902,0.038204
V1_02_medium,48,DPR-Exact-Block,151,128,0.050000000000000044,0.7665431427903098,3.4944891020542146,1.08599918955628,0.9583333333333334,1.281992,0.4844608084483518,1.1821479438536082,0.05896912200682154,0.013090582825925429,0.03947978329966467,0.015210182595898902,0.038204
V1_02_medium,48,DUC-K16,151,128,0.050000000000000044,0.7720201046350468,3.489488264050375,1.0912578384221692,0.9583333333333334,0.315058,0.4844608084483518,1.1821479438536082,0.05896912200682154,0.013090582825925429,0.03947978329966467,0.015210182595898902,0.038204
V1_02_medium,48,Permuted-K16,151,128,0.050000000000000044,0.6948780165752264,3.5011642133227845,1.0464249186779462,0.9583333333333334,0.104839,0.4844608084483518,1.1821479438536082,0.05896912200682154,0.013090582825925429,0.03947978329966467,0.015210182595898902,0.038204
V1_03_difficult,16,Raw,195,117,0.07499999999999996,0.9453412144295208,3.9237888476610094,0.4910124130644642,0.875,0.00637,0.24650542152041216,0.7517974566639785,0.09673828916360522,0.025856143559526756,0.07515004215186388,0.04318283945798429,0.038505
V1_03_difficult,16,Global-DoF,195,117,0.07499999999999996,0.8917005264748996,3.7939920374794522,0.6043229699254944,0.875,0.00205,0.24650542152041216,0.7517974566639785,0.09673828916360522,0.025856143559526756,0.07515004215186388,0.04318283945798429,0.038505
V1_03_difficult,16,DPR-Exact-Block,195,117,0.07499999999999996,0.8650136134698228,3.7176084867682397,0.6221904875375465,0.875,0.457179,0.24650542152041216,0.7517974566639785,0.09673828916360522,0.025856143559526756,0.07515004215186388,0.04318283945798429,0.038505
V1_03_difficult,16,DUC-K16,195,117,0.07499999999999996,0.9004559383055646,3.79557012361582,0.6209255447495204,0.875,0.179012,0.24650542152041216,0.7517974566639785,0.09673828916360522,0.025856143559526756,0.07515004215186388,0.04318283945798429,0.038505
V1_03_difficult,16,Permuted-K16,195,117,0.07499999999999996,0.8991016728835518,3.7926586625432175,0.6750524394106352,0.875,0.070214,0.24650542152041216,0.7517974566639785,0.09673828916360522,0.025856143559526756,0.07515004215186388,0.04318283945798429,0.038505
V1_03_difficult,48,Raw,195,117,0.050000000000000044,0.5657608870585431,3.192877278622292,0.7559359087652147,0.9166666666666666,0.006302,0.49786828715308495,1.2157213743452886,0.05989541574887742,0.012895395744176752,0.04187055129255489,0.014291458811022895,0.038817
V1_03_difficult,48,Global-DoF,195,117,0.050000000000000044,0.5450813808758876,3.2224646807457966,0.8063316360162288,0.9166666666666666,0.002035,0.49786828715308495,1.2157213743452886,0.05989541574887742,0.012895395744176752,0.04187055129255489,0.014291458811022895,0.038817
V1_03_difficult,48,DPR-Exact-Block,195,117,0.050000000000000044,0.5642432103430067,3.253663588203168,0.8491010026743994,0.9166666666666666,1.282779,0.49786828715308495,1.2157213743452886,0.05989541574887742,0.012895395744176752,0.04187055129255489,0.014291458811022895,0.038817
V1_03_difficult,48,DUC-K16,195,117,0.050000000000000044,0.5598817750144642,3.2307695085159907,0.8946140414438101,0.9166666666666666,0.316049,0.49786828715308495,1.2157213743452886,0.05989541574887742,0.012895395744176752,0.04187055129255489,0.014291458811022895,0.038817
V1_03_difficult,48,Permuted-K16,195,117,0.033333333333333326,0.5400940595878487,3.2203685341670423,0.8195998391850975,0.9166666666666666,0.105863,0.49786828715308495,1.2157213743452886,0.05989541574887742,0.012895395744176752,0.04187055129255489,0.014291458811022895,0.038817
V2_01_easy,16,Raw,208,204,0.07499999999999996,0.9300536612356993,4.140038870160224,0.45539787673042875,0.875,0.006267,0.26069581996126073,0.7404690499829689,0.09921876364683407,0.025806459843043333,0.07509884927137127,0.048568462427426407,0.0383045
V2_01_easy,16,Global-DoF,208,204,0.07499999999999996,0.8373123677007271,3.802789713853506,0.5604896944374507,0.875,0.002026,0.26069581996126073,0.7404690499829689,0.09921876364683407,0.025806459843043333,0.07509884927137127,0.048568462427426407,0.0383045
V2_01_easy,16,DPR-Exact-Block,208,204,0.07499999999999996,0.8105852921164404,3.724362479314618,0.6475802663418533,0.875,0.46193150000000005,0.26069581996126073,0.7404690499829689,0.09921876364683407,0.025806459843043333,0.07509884927137127,0.048568462427426407,0.0383045
V2_01_easy,16,DUC-K16,208,204,0.050000000000000044,0.8510565325527486,3.6856867531432327,0.6673921602565539,0.9166666666666666,0.177872,0.26069581996126073,0.7404690499829689,0.09921876364683407,0.025806459843043333,0.07509884927137127,0.048568462427426407,0.0383045
V2_01_easy,16,Permuted-K16,208,204,0.07499999999999996,0.9143977731170574,3.739018151340548,0.6255373106396013,0.875,0.07040750000000001,0.26069581996126073,0.7404690499829689,0.09921876364683407,0.025806459843043333,0.07509884927137127,0.048568462427426407,0.0383045
V2_01_easy,48,Raw,208,204,0.050000000000000044,0.6560425281237288,3.4492314683236494,0.8780572223617105,0.9166666666666666,0.006174499999999999,0.4952977615120555,1.1841904208351894,0.05945394463791476,0.013328922955985062,0.04147405968338544,0.017746764400422832,0.038695499999999994
V2_01_easy,48,Global-DoF,208,204,0.050000000000000044,0.695468796219415,3.4335939064076353,0.936594370519158,0.9166666666666666,0.002017,0.4952977615120555,1.1841904208351894,0.05945394463791476,0.013328922955985062,0.04147405968338544,0.017746764400422832,0.038695499999999994
V2_01_easy,48,DPR-Exact-Block,208,204,0.050000000000000044,0.702135968882813,3.446937548193254,1.004329623109832,0.9166666666666666,1.279986,0.4952977615120555,1.1841904208351894,0.05945394463791476,0.013328922955985062,0.04147405968338544,0.017746764400422832,0.038695499999999994
V2_01_easy,48,DUC-K16,208,204,0.050000000000000044,0.69419080949747,3.4490005340919074,1.0204697909278533,0.9166666666666666,0.314874,0.4952977615120555,1.1841904208351894,0.05945394463791476,0.013328922955985062,0.04147405968338544,0.017746764400422832,0.038695499999999994
V2_01_easy,48,Permuted-K16,208,204,0.050000000000000044,0.6798072453714401,3.4360610312548703,0.9366047664728776,0.9166666666666666,0.1055935,0.4952977615120555,1.1841904208351894,0.05945394463791476,0.013328922955985062,0.04147405968338544,0.017746764400422832,0.038695499999999994
V2_02_medium,16,Raw,215,180,0.07499999999999996,0.783152160526255,5.099674036389484,1.849939942595733,0.875,0.0066335000000000005,0.25554506032114127,0.7523715604345231,0.10228757470743778,0.025786793854184115,0.07977570292472182,0.043813132305908775,0.038956000000000005
V2_02_medium,16,Global-DoF,215,180,0.050000000000000044,0.7409672107210288,4.8943156539707084,2.276849160117825,0.9166666666666666,0.002112,0.25554506032114127,0.7523715604345231,0.10228757470743778,0.025786793854184115,0.07977570292472182,0.043813132305908775,0.038956000000000005
V2_02_medium,16,DPR-Exact-Block,215,180,0.050000000000000044,0.7231598675895377,4.788487099708204,2.4555904332051934,0.9166666666666666,0.482065,0.25554506032114127,0.7523715604345231,0.10228757470743778,0.025786793854184115,0.07977570292472182,0.043813132305908775,0.038956000000000005
V2_02_medium,16,DUC-K16,215,180,0.050000000000000044,0.7181127900667622,4.889457989151987,2.4594311632680643,0.9166666666666666,0.185851,0.25554506032114127,0.7523715604345231,0.10228757470743778,0.025786793854184115,0.07977570292472182,0.043813132305908775,0.038956000000000005
V2_02_medium,16,Permuted-K16,215,180,0.050000000000000044,0.7300212833185569,4.894352420116666,2.3254772449016325,0.9166666666666666,0.0736935,0.25554506032114127,0.7523715604345231,0.10228757470743778,0.025786793854184115,0.07977570292472182,0.043813132305908775,0.038956000000000005
V2_02_medium,48,Raw,215,180,0.033333333333333326,0.5992241142048844,4.299071480317702,2.905005988812068,0.9166666666666666,0.0066455,0.5012439026928156,1.2590328148885295,0.060483813790720736,0.013546634413132641,0.03974900071722248,0.019753030889569312,0.0396325
V2_02_medium,48,Global-DoF,215,180,0.033333333333333326,0.6348036649651041,4.303498577012235,3.098673054732872,0.9166666666666666,0.002074,0.5012439026928156,1.2590328148885295,0.060483813790720736,0.013546634413132641,0.03974900071722248,0.019753030889569312,0.0396325
